PHRASE                        
PHRASE_TYPE,PHRASE_ID,PHRASE_TEXT_DE
10,10,234
                      40
"SQC_CHART","IND_MR","Einzelwerte und gleitende Spannweite (MR)"
"SQC_CHART","IND","Einzelwerte"
"SQC_CHART","MOV_RANGE","Gleitende Spannweite (MR)"
"SQC_CHART","MEAN_STD","Mittelwert und Standardabweichung"
"SQC_CHART","MEAN_S","Mittelwert (Std)"
"SQC_CHART","STD","Standard Abweichung"
"SQC_CHART","MEAN_RANGE","Mittelwert und Spannweite"
"SQC_CHART","MEAN_R","Mittelwert (Spannweite)"
"SQC_CHART","RANGE","Spannweite"
"SQC_CHART","CUSUM","CUSUM"
"SQC_CHART","PROC_CAP","Prozessfähigkeit"
"SQC_CHART","EWMA","EWMA"
"SQC_TPARAM","2","Aufeinanderfolgende"
"SQC_TPARAM","1","Ausserhalb von"
"SQC_TPARAM","3","Oder mehr"
"SQC_TTYPE","1","Über der Mittellinie (CL)"
"SQC_TTYPE","2","Überschreitet die 1-Sigma Grenze"
"SQC_TTYPE","3","Überschreiten die 2-Sigma Grenze oder obere Warngrenze"
"SQC_TTYPE","4","Überschreiten die 3-Sigma Grenze oder obere Kontrollgrenze"
"SQC_TTYPE","5","Unter der Mittellinie (CL)"
"SQC_TTYPE","6","Unter der 1-Sigma Grenze"
"SQC_TTYPE","7","Unter der 2-Sigma Grenze oder Warngrenze"
"SQC_TTYPE","8","Unter der 3-Sigma Grenze oder Kontrollgrenze"
"SQC_TTYPE","9","Steigend"
"SQC_TTYPE","10","Fallend"
"SQC_TTYPE","11","Innerhalb der 1-Sigma Grenze"
"SQC_TTYPE","12","Überschreiten die 1-Sigma Grenze auf derselben Seite der Mittellinie (CL)"
"SQC_TTYPE","13","berschreiten die Warngrenze auf der selben Seite der Mittellinie (CL)"
"SQC_TTYPE","14","Außerhalb der oberen Spez. Grenze (USL)"
"SQC_TTYPE","15","Außerhalb der Unteren Spez. Grenze (LSL)"
"SQC_TTYPE","16","Mehr als 3-Sigma vom Mittelwert"
"SQC_TTYPE","17","Liegen auf der selben Seite der Mittellinie (CL)"
"SQC_TTYPE","18","Nehmen kontinuierlich ab oder zu"
"SQC_TTYPE","19","In einer Reihe wechseln sich ab, steigen dann fallen"
"SQC_TTYPE","20","Überschreiten die 2-Sigma Grenze auf derselben Seite der Mittellinie (CL)"
"SQC_TTYPE","21","Überschreiten die 1-Sigma Grenze auf derselben Seite der Mittellinie (CL)"
"SQC_TTYPE","22","Liegen alle innerhalb von 1-Sigma des Mittelwerts auf beiden Seiten der Mittellinie (CL)"
"SQC_TTYPE","23","Exisiteren in einer Reihe, aber keiner ist innerhalb 1-Sigma vom Mittelwert und die Punkte liegen in beiden Richtungen vom Mittelwert"
"SQC_RFIELD","TEXT","Text"
"SQC_RFIELD","VALUE","Value"
