EXPLORER_COLUMN               
CABINET,FOLDER_NUMBER,COLUMN_NUMBER,NAME,DESCRIPTION,TABLE_NAME,FIELD_NAME,ROUTINE,LIBRARY,WIDTH,GROUP_ID,ORDER_NUMBER,ALIGNMENT,NAME_DE
30,10,10,30,234,30,100,30,20,10,10,10,10,30
                     81
"STB_STUDIES","2","1","Study",,,"ParentStudy",,,"0",,"0","DEFAULT","Studie"
"STB_STUDIES","2","2","Packaging",,,"ParentPackAxisPoint",,,"0",,"0","DEFAULT","Packmittel"
"STB_STUDIES","2","3","Orientation",,,"Orientation",,,"0",,"0","DEFAULT","Orientierung"
"STB_STUDIES","2","4","Condition",,,"Condition",,,"0",,"0","DEFAULT","Lagerbedingung"
"STB_STUDIES","2","5","Location",,,"Location",,,"0",,"0","DEFAULT","Standort"
"STB_STUDIES","2","6","Inventory based on",,,"ParentStudy.InventoryBasedOn",,,"0",,"0","DEFAULT","Inventar basiert auf"
"STB_STUDIES","2","7","Storaged on",,,"StorageDate",,,"0",,"0","DEFAULT","Eingelagert am"
"STB_STUDIES","2","8","Stored By",,,"StoredBy",,,"0",,"0","DEFAULT","Eingelagert von"
"STB_STUDIES","2","9","Inventory Unit",,,"ParentStudy.InventoryBaseUnit",,,"0",,"0","DEFAULT","Einheit Inventar"
"STB_STUDIES","2","10","Count Stored",,,"CountStored",,,"0",,"0","DEFAULT","Eingelagerte Menge"
"STB_STUDIES","2","11","Containers Stored",,,"ContainersStored",,,"0",,"0","DEFAULT","Eingelagerte Containers"
"STB_STUDIES","2","12","CountRemaining",,,"CountRemaining",,,"0",,"0","DEFAULT","Verbleibende Menge"
"STB_STUDIES","2","13","Containers Remaining",,,"ContainersRemaining",,,"0",,"0","DEFAULT","Verbleibende Container"
"STB_STUDIES","2","14","Planned disposal Date",,,"PlannedDisposalDate",,,"0",,"0","DEFAULT","Geplantes Entsorgungsdatum"
"STB_STUDIES","2","15","Disposed on",,,"DisposedOn",,,"0",,"0","DEFAULT","Entsorgt am"
"STB_STUDIES","2","16","Disposed by",,,"DisposedBy",,,"0",,"0","DEFAULT","Entsorgt von"
"STB_STUDIES","3","1","Study",,,"ParentStudy",,,"0",,"0","DEFAULT","Studie"
"STB_STUDIES","3","2","Packaging",,,"ParentPackAxisPoint",,,"0",,"0","DEFAULT","Packmittel"
"STB_STUDIES","3","3","Orientation",,,"Orientation",,,"0",,"0","DEFAULT","Orientierung"
"STB_STUDIES","3","4","Condition",,,"Condition",,,"0",,"0","DEFAULT","Lagerbedingung"
"STB_STUDIES","3","5","Location",,,"Location",,,"0",,"0","DEFAULT","Standort"
"STB_STUDIES","3","6","Inventory Base Unit",,,"ParentStudy.InventoryBaseUnit",,,"0",,"0","DEFAULT","Basiseinheit Inventar"
"STB_STUDIES","3","7","Count planned",,,"CountStored",,,"0",,"0","DEFAULT","Geplante Anzahl"
"STB_STUDIES","3","8","Containers planned",,,"ContainersStored",,,"0",,"0","DEFAULT","Geplante Container"
"STB_STUDIES","4","1","Study",,,"ParentStudy",,,"0",,"0","DEFAULT","Studie"
"STB_STUDIES","4","2","Packaging",,,"ParentPackAxisPoint",,,"0",,"0","DEFAULT","Packmittel"
"STB_STUDIES","4","3","Orientation",,,"ParentOrientation",,,"0",,"0","DEFAULT","Orientierung"
"STB_STUDIES","4","4","Condition",,,"ParentCondition",,,"0",,"0","DEFAULT","Lagerbedingung"
"STB_STUDIES","4","5","Location",,,"Location",,,"0",,"0","DEFAULT","Standort"
"STB_STUDIES","4","6","StorageDate",,,"StorageDate",,,"0",,"0","DEFAULT","Einlagerungsdatum"
"STB_STUDIES","4","7","Planned Disposal Date",,,"PlannedDisposalDate",,,"0",,"0","DEFAULT","Geplantes Entsorgungsdatum"
"STB_STUDIES","5","1","Picklist Name",,,"StbPicklistHeaderName",,,"0",,"0","DEFAULT","Entnahmeliste"
"STB_STUDIES","5","2","Assigned To",,,"AssignedTo",,,"0",,"0","DEFAULT","Zugewiesen an"
"STB_STUDIES","5","3","Start Date",,,"StartDate",,,"0",,"0","DEFAULT","Startdatum"
"STB_STUDIES","5","4","End Date",,,"EndDate",,,"0",,"0","DEFAULT","Enddatum"
"STB_STUDIES","7","1","Study",,,"ParentStudy",,,"0",,"0","DEFAULT","Studie"
"STB_STUDIES","7","2","Orientation",,,"Orientation",,,"0",,"0","DEFAULT","Orientierung"
"STB_STUDIES","7","3","Condition",,,"StorageCondition",,,"0",,"0","DEFAULT","Lagerbedingung"
"STB_STUDIES","7","4","Storage Time",,,"StorageTime",,,"0",,"0","DEFAULT","Lagerzeit"
"STB_STUDIES","7","5","Item Number",,,"ItemNumber",,,"0",,"0","DEFAULT","Element Numner"
"STB_STUDIES","7","6","DisplayedTotalContainer",,,"DisplayedTotalContainer",,,"0",,"0","DEFAULT","Angezeigt Gesamtcontainer"
"STB_STUDIES","7","7","DisplayedTotalCount",,,"DisplayedTotalCount",,,"0",,"0","DEFAULT","Angezeigte Gesamtanzahl"
"STB_STUDIES","7","8","DisplayedTestGroupVersion",,,"DisplayedTestGroupVersion",,,"0",,"0","DEFAULT","Angez. Version der Testgruppe"
"STB_STUDIES","7","9","EarliestPullDate",,,"EarliestPullDate",,,"0",,"0","DEFAULT","Früheste Fälligkeit"
"STB_STUDIES","7","10","LatestPullDate",,,"LatestPullDate",,,"0",,"0","DEFAULT","Späteste Fälligkeit"
"STB_STUDIES","7","11","CreatedSampleId",,,"CreatedSampleId",,,"0",,"0","DEFAULT","Proben-ID"
"STB_STUDIES","12","1","Study",,,"ParentStorage.ParentStudy",,,"0",,"0","DEFAULT","Studie"
"STB_STUDIES","12","2","Lot Id",,,"ParentStorage.LotId",,,"0",,"0","DEFAULT","Lot ID"
"STB_STUDIES","12","3","Packaging",,,"ParentStorage.ParentStudyPackAxisPoint",,,"0",,"0","DEFAULT","Packmittel"
"STB_STUDIES","12","4","Orientation",,,"Orientation",,,"0",,"0","DEFAULT","Orientierung"
"STB_STUDIES","12","5","Condition",,,"Condition",,,"0",,"0","DEFAULT","Lagerbedingung"
"STB_STUDIES","12","6","Location",,,"Location",,,"0",,"0","DEFAULT","Standort"
"STB_STUDIES","12","7","Containers allocated",,,"ContainersAllocated",,,"0",,"0","DEFAULT","Entnommene Container"
"STB_STUDIES","12","8","Amount Unit",,,"ParentStorage.ParentStudy.InventoryBaseUnit",,,"0",,"0","DEFAULT","Einheit"
"STB_STUDIES","12","9","Count allocated",,,"CountAllocated",,,"0",,"0","DEFAULT","Entnommene Anzahl"
"STB_STUDIES","12","10","Allocated on",,,"AllocatedOn",,,"0",,"0","DEFAULT","Entnommen von"
"STB_STUDIES","12","11","Allocated by",,,"AllocatedBy",,,"0",,"0","DEFAULT","Entnommen am"
"STB_STUDIES","12","12","Allocation Comment",,,"AllocationComment",,,"0",,"0","DEFAULT","Kommentar"
"STB_STUDIES","13","1","Name",,,"Name",,,"0",,"0","DEFAULT","Name"
"STB_STUDIES","13","2","Item",,,"ItemNumber",,,"0",,"0","DEFAULT","Element"
"STB_STUDIES","13","3","Study",,,"ParentStudy",,,"0",,"0","DEFAULT","Studie"
"STB_STUDIES","13","4","Sample",,,"CreatedSampleId",,,"0",,"0","DEFAULT","Probe"
"STB_STUDIES","13","5","Orientation",,,"Orientation",,,"0",,"0","DEFAULT","Orientierung"
"STB_STUDIES","13","6","Storage Condition",,,"StorageCondition",,,"0",,"0","DEFAULT","Lagerbedingung"
"STB_STUDIES","13","7","Storage Time",,,"StorageTime",,,"0",,"0","DEFAULT","Lagerzeit"
"STB_STUDIES","13","8","Total Container",,,"DisplayedTotalContainer",,,"0",,"0","DEFAULT","Container Gesamt"
"STB_STUDIES","13","9","Total Count",,,"DisplayedTotalCount",,,"0",,"0","DEFAULT","Menge Gesamt"
"STB_STUDIES","13","10","Earliest Pull Date",,,"EarliestPullDate",,,"0",,"0","DEFAULT","Frühste Fälligkeit"
"STB_STUDIES","13","11","Due Date Used",,,"DueDateUsed",,,"0",,"0","DEFAULT","Verwendete Fälligkeit"
"STB_STUDIES","13","12","Latest Pull Date",,,"LatestPullDate",,,"0",,"0","DEFAULT","Späteste Fälligkeit"
"STB_STUDIES","14","1","Name",,,"Name",,,"0",,"0","DEFAULT","Name"
"STB_STUDIES","14","2","Item",,,"ItemNumber",,,"0",,"0","DEFAULT","Element"
"STB_STUDIES","14","3","Linked Study",,,"LinkedStudy",,,"0",,"0","DEFAULT","Unterstudie"
"STB_STUDIES","14","4","Parent Study",,,"ParentStudy",,,"0",,"0","DEFAULT","Elternstudie"
"STB_STUDIES","14","5","Orientation",,,"Orientation",,,"0",,"0","DEFAULT","Orientierung"
"STB_STUDIES","14","6","Storage Condition",,,"StorageCondition",,,"0",,"0","DEFAULT","Lagerbedingung"
"STB_STUDIES","14","7","Storage Time",,,"StorageTime",,,"0",,"0","DEFAULT","Lagerzeit"
"STB_STUDIES","14","8","Displayed Total Container",,,"DisplayedTotalContainer",,,"0",,"0","DEFAULT","Angezeigte Gesamtcontainer"
"STB_STUDIES","14","9","Displayed Total Count",,,"DisplayedTotalCount",,,"0",,"0","DEFAULT","Angezeigte Gesamtanzahl"
"STB_STUDIES","14","10","Earliest Due Date",,,"EarliestDueDate",,,"0",,"0","DEFAULT","Früheste Fälligkeit"
"STB_STUDIES","14","11","Due Date",,,"DueDate",,,"0",,"0","DEFAULT","Fällig"

