FORM                          
NAME,TITLE_DE
30,100
                      51
"StbArticles","Artikel (Produkt)"
"StbLabelClaimTrendChart","Trend Grafik"
"StbLabelClaimTrendData","Trend Daten"
"StbMergePackaging","Merge Template and Study Packaging"
"StbOrientations","Orientierung"
"StbPackagingSystems","Packmittel"
"StbRelocateInventory","Inventar Umlagern"
"StbSelectStudyCondition","Wähle Studienbedingung"
"StbSelectTemplate","Erstelle Studie von Studientemplate"
"StbStorageConditions","Lagerbedingung"
"StbStorageTime","Lagerzeit"
"StbStudy","Stabilitätsstudie"
"StbStudyDashboard","Studien Dashboard"
"StbStudyDisposal","Entsorgung"
"StbStudyAxisProperties","Eigenschaften für Packmittel festlegen"
"StbStudyEditAxis","Ändere Studien Achse"
"StbStudyLoginTester","Testumgebung : Stabilitätsstudie Prozessieren"
"StbStudyManualAllocation","Manuelle Entnahme"
"StbStudyPicklist","Entnahmeliste"
"StbStudyPicklistAddCellLink","Zelle zu Entnahmeliste hinzufügen"
"StbStudyPicklistAddCellPull","Zellen zu Entnahmeliste hinzufügen"
"StbStudyPicklistCriteria","Selektiere Kriterien"
"StbStudyPullPrediction","Pull Vorhersage"
"StbStudyStorage","Einlagerung"
"StbStudyTemplate","Studientemplate"
"StbStudyTemplateCopyMatrix","Kopiere Matrix Nach"
"StbStudyTemplateEditAxis","Ändere Studientemplate Achse"
"StbStudyTemplateEditCellItems","Elemente Bearbeiten"
"StbStudyTemplatePullPrediction","Pull Vorhersage"
"StbTestGroup","Testgruppe"
"StbTestGroupImportFromMLP","Importiere Testgruppen Einträge aus MLP"
"StbTestGroupImportFromTestSch","Importiere Testgruppen Einträge aus Testplan"
"StbUpdateArticle","Update Tool : Artikel"
"StbUpdateCalculation","Update Tool : Berechnung"
"StbUpdateLimitCalculation","Update Tool : Limit- Berechnung"
"StbUpdateLimitPhrase","Update Tool : Limit- Phrase"
"StbUpdateMlpHeader","Update Tool : Produkt"
"StbUpdatePhrase","Update Tool : Phrase"
"StbUpdateSigFig","Update Tool : Signifikante Stellen"
"StbUpdateTestGroup","Update Tool : Testgruppe"
"StbUpdateVersionedAnalysis","Update Tool : Analyse"
"StbUsageArticle","Verwendung : Artikel"
"StbUsageCalculation","Verwendung : Berechnung"
"StbUsageLimitCalculation","Verwendung : Limit- Berechnung"
"StbUsageLimitPhrase","Verwendung : Limit- Phrase"
"StbUsageMlpHeader","Verwendung : Produkt"
"StbUsagePhrase","Verwendung : Phrase"
"StbUsageSigFig","Verwendung : Signifikante Stellen"
"StbUsageTestGroup","Verwendung : Testgruppe"
"StbUsageVersionedAnalysis","Verwendung : Analyse"
"StbValidationRules","Validierungsregel"
