MENU_TOOLBAR                  
TOOLBAR_NAME,ITEM_NUMBER,PARENT_NUMBER,ITEM_NAME,TYPE,PROCEDURE_NUM,INTERNAL_ITEM_NAME,PAINT_STYLE,BEGIN_GROUP,SHORTCUT,ITEM_NAME_DE
20,10,10,234,20,10,40,40,1,20,234
                     147
"SYSTEM","2559","0","Stability","MENU","0","USER_MENU","Standard","FALSE",,"Stabilität"
"SYSTEM","2560","2559","Articles (Products)","MENU","0","USER_MENU","Standard","FALSE",,"Artikel (Produkte)"
"SYSTEM","2561","2560","Open...","ITEM","28861","MENU_28861","Standard","FALSE",,"Öffnen..."
"SYSTEM","2562","2560","Add","ITEM","28714","MENU_28714","Standard","TRUE",,"Hinzufügen"
"SYSTEM","2563","2560","Copy","ITEM","28715","MENU_28715","Standard","FALSE",,"Kopieren"
"SYSTEM","2564","2560","New Version","ITEM","28762","MENU_28762","Standard","FALSE",,"Neue Version"
"SYSTEM","2565","2560","Modify","ITEM","28716","MENU_28716","Standard","FALSE",,"Ändern"
"SYSTEM","2566","2560","Display","ITEM","28717","MENU_28717","Standard","FALSE",,"Anzeigen"
"SYSTEM","2567","2560","Print","ITEM","28769","MENU_28769","Standard","TRUE",,"Drucken"
"SYSTEM","2568","2560","List","ITEM","28768","MENU_28768","Standard","FALSE",,"Liste"
"SYSTEM","2569","2560","Submit","ITEM","28764","MENU_28764","Standard","TRUE",,"Einreichen"
"SYSTEM","2570","2560","Approve","ITEM","28763","MENU_28763","Standard","FALSE",,"Genehmigen"
"SYSTEM","2571","2560","History","ITEM","28765","MENU_28765","Standard","FALSE",,"Historie"
"SYSTEM","2572","2560","Remove","ITEM","28718","MENU_28718","Standard","TRUE",,"Entfernen"
"SYSTEM","2573","2560","Restore","ITEM","28719","MENU_28719","Standard","FALSE",,"Wiederherstellen"
"SYSTEM","2574","2559","Packaging Systems","MENU","0","USER_MENU","Standard","FALSE",,"Packmittel"
"SYSTEM","2575","2574","Open...","ITEM","28862","MENU_28862","Standard","FALSE",,"Öffnen..."
"SYSTEM","2576","2574","Add","ITEM","28707","MENU_28707","Standard","TRUE",,"Hinzufügen"
"SYSTEM","2577","2574","Copy","ITEM","28708","MENU_28708","Standard","FALSE",,"Kopieren"
"SYSTEM","2578","2574","Modify","ITEM","28709","MENU_28709","Standard","FALSE",,"Ändern"
"SYSTEM","2579","2574","Display","ITEM","28711","MENU_28711","Standard","FALSE",,"Anzeigen"
"SYSTEM","2580","2574","Print","ITEM","28772","MENU_28772","Standard","TRUE",,"Drucken"
"SYSTEM","2581","2574","List","ITEM","28771","MENU_28771","Standard","FALSE",,"Liste"
"SYSTEM","2582","2574","Remove","ITEM","28712","MENU_28712","Standard","TRUE",,"Entfernen"
"SYSTEM","2583","2574","Restore","ITEM","28713","MENU_28713","Standard","FALSE",,"Wiederherstellen"
"SYSTEM","2584","2559","Orientations","MENU","0","USER_MENU","Standard","FALSE",,"Orientierungen"
"SYSTEM","2585","2584","Open...","ITEM","28863","MENU_28863","Standard","FALSE",,"Öffnen..."
"SYSTEM","2586","2584","Add","ITEM","28701","MENU_28701","Standard","TRUE",,"Hinzufügen"
"SYSTEM","2587","2584","Copy","ITEM","28702","MENU_28702","Standard","FALSE",,"Kopieren"
"SYSTEM","2588","2584","Modify","ITEM","28703","MENU_28703","Standard","FALSE",,"Ändern"
"SYSTEM","2589","2584","Display","ITEM","28704","MENU_28704","Standard","FALSE",,"Anzeigen"
"SYSTEM","2590","2584","Print","ITEM","28767","MENU_28767","Standard","TRUE",,"Drucken"
"SYSTEM","2591","2584","List","ITEM","28766","MENU_28766","Standard","FALSE",,"Liste"
"SYSTEM","2592","2584","Remove","ITEM","28705","MENU_28705","Standard","TRUE",,"Entfernen"
"SYSTEM","2593","2584","Restore","ITEM","28706","MENU_28706","Standard","FALSE",,"Wiederherstellen"
"SYSTEM","2594","2559","Storage Conditions","MENU","0","USER_MENU","Standard","FALSE",,"Lagerbedingungen"
"SYSTEM","2595","2594","Open...","ITEM","28864","MENU_28864","Standard","FALSE",,"Öffnen..."
"SYSTEM","2596","2594","Add","ITEM","28721","MENU_28721","Standard","TRUE",,"Hinzufügen"
"SYSTEM","2597","2594","Copy","ITEM","28722","MENU_28722","Standard","FALSE",,"Kopieren"
"SYSTEM","2598","2594","Modify","ITEM","28723","MENU_28723","Standard","FALSE",,"Ändern"
"SYSTEM","2599","2594","Display","ITEM","28724","MENU_28724","Standard","FALSE",,"Anzeigen"
"SYSTEM","2600","2594","Print","ITEM","28774","MENU_28774","Standard","TRUE",,"Drucken"
"SYSTEM","2601","2594","List","ITEM","28773","MENU_28773","Standard","FALSE",,"Liste"
