EXPLORER_FOLDER               
CABINET,FOLDER_NUMBER,NAME,DESCRIPTION,FOLDER_ICON_1,FOLDER_ICON_2,DATA_ICON,CRITERIA,TABLE_NAME,COLUMN_MODE,GROUP_ID,ORDER_NUMBER,AUTOSIZE,AUTO_LABTABLE,USER_LIBRARY,DATA_ICON_ROUTINE,CUSTOM_ROUTINE,DATA_ROUTINE,CRITERIA_ROUTINE,LEAVE_ROUTINE,TREE_ICON_ROUTINE,GROUP_EXCLUSIVE,HIERARCHY,CRITERIA_SAVED_IDENTITY,EXPLORER_FORM,EXPLORER_FORM_TASK,SHOW_VERSIONS,SHOW_REMOVED,DEFAULT_REPORT,OVERRIDE_DEFAULT_HIERARCHY,INCLUDE_IN_TREE,TREE_DISPLAY_FIELD,CHILD_FORM,CHILD_FORM_TASK,DEFAULT_ACTION,REMOVEFLAG,OVERRIDE_DEFAULT_COLUMNS,FORMAT_MODE,ICON_MODE,POPUP_MODE,CHILD_TEMPLATE_ID,OVERRIDE_REPORT_TASK,CHILD_REPORT_TASK,CHILD_REPORT_TIMER,OVERRIDE_DEFAULT_GROUPING,DYNAMIC_FORM_DEFINITION,CHILD_DASHBOARD_DEFINITION,APPROVAL_OVERRIDE,APPROVAL_SINGLE_ACTIVE_VERSION,APPROVAL_INSPECT_SECURITY,APPROVAL_SUBMIT_ON_ADD,AUDIT_REASON_PHRASE,DISABLE_AUTO_REFRESH,ALLOW_MOBILE_OFFLINE,ALLOW_OFFLINE_UNSELECT,DEPRECATED,NAME_DE,DESCRIPTION_DE
30,10,100,234,30,30,30,10,30,10,10,10,1,1,20,30,30,30,30,30,30,1,40,40,30,100,1,1,30,1,1,100,30,100,10,1,1,10,10,10,30,1,100,10,1,36,36,1,1,10,1,10,1,1,1,1,100,234
                      18
"TABLE_DETAILS","236","Stb Article","Stability Article","INT_CLOSED_FOLDER","INT_OPEN_FOLDER","STB_ARTICLE",,"STB_ARTICLE","CUSTOM",,"236","FALSE","FALSE",,,,,,,,"TRUE",,"EXPLORE_TABLE_DETAILS_128_21",,,"FALSE","FALSE",,"FALSE","FALSE",,,,"0","FALSE","TRUE","MERGE","MERGE","MERGE",,"FALSE",,"0","FALSE",,,"FALSE","FALSE","LOW","FALSE",,"FALSE","FALSE","FALSE","FALSE","Stb Artikel","Stability Article"
"TABLE_DETAILS","232","Stb Orientations","Stability Orientations","INT_CLOSED_FOLDER","INT_OPEN_FOLDER","STB_ORIENT_UP",,"STB_ORIENTATION","CUSTOM",,"232","FALSE","FALSE",,,,,,,,"TRUE",,"EXPLORE_TABLE_DETAILS_121_21",,,"FALSE","FALSE",,"FALSE","FALSE",,,,"0","FALSE","TRUE","MERGE","MERGE","MERGE",,"FALSE",,"0","FALSE",,,"FALSE","FALSE","LOW","FALSE",,"FALSE","FALSE","FALSE","FALSE","Stb Orientierungen","Stability Orientations"
"TABLE_DETAILS","233","Stb Packaging Systems","Stability Packaging Systems","INT_CLOSED_FOLDER","INT_OPEN_FOLDER","STB_PACKAGING",,"STB_PACKAGING_SYSTEM","CUSTOM",,"233","FALSE","FALSE",,,,,,,,"TRUE",,"EXPLORE_TABLE_DETAILS_123_21",,,"FALSE","FALSE",,"FALSE","FALSE",,,,"0","FALSE","TRUE","MERGE","MERGE","MERGE",,"FALSE",,"0","FALSE",,,"FALSE","FALSE","LOW","FALSE",,"FALSE","FALSE","FALSE","FALSE","Stb Packmittel","Stability Packaging Systems"
"TABLE_DETAILS","242","Stb Pick List","Stability Pick List","INT_CLOSED_FOLDER","INT_OPEN_FOLDER","STB_PICKLIST",,"STB_PICKLIST_HEADER","BROWSE",,"242","FALSE","FALSE",,,,,,,,"TRUE",,"EXPLORE_TABLE_DETAILS_134_21",,,"FALSE","FALSE",,"FALSE","FALSE",,,,"28874","FALSE","TRUE","MERGE","MERGE","MERGE",,"FALSE",,"0","FALSE",,,"FALSE","FALSE","LOW","FALSE",,"FALSE","FALSE","FALSE","FALSE","Stb Probenahmeliste","Stability Pick List"
"TABLE_DETAILS","234","Stb Storage Conditions","Stability Storage Conditions","INT_CLOSED_FOLDER","INT_OPEN_FOLDER","STB_CONDITION",,"STB_STORAGE_CONDITION","CUSTOM",,"234","FALSE","FALSE",,,,,,,,"TRUE",,"EXPLORE_TABLE_DETAILS_125_21",,,"FALSE","FALSE",,"FALSE","FALSE",,,,"0","FALSE","TRUE","MERGE","MERGE","MERGE",,"FALSE",,"0","FALSE",,,"FALSE","FALSE","LOW","FALSE",,"FALSE","FALSE","FALSE","FALSE","Stb Lagerbedingungen","Stability Storage Conditions"
"TABLE_DETAILS","235","Stb Storage Times","Stability Storage Times","INT_CLOSED_FOLDER","INT_OPEN_FOLDER","STB_TIME",,"STB_STORAGE_TIME","CUSTOM",,"235","FALSE","FALSE",,,,,,,,"TRUE",,"EXPLORE_TABLE_DETAILS_126_21",,,"FALSE","FALSE",,"FALSE","FALSE",,,,"0","FALSE","TRUE","MERGE","MERGE","MERGE",,"FALSE",,"0","FALSE",,,"FALSE","FALSE","LOW","FALSE",,"FALSE","FALSE","FALSE","FALSE","Stb Lagerzeiten","Stability Storage Times"
"TABLE_DETAILS","239","Stb Study","Stability Study","INT_CLOSED_FOLDER","INT_OPEN_FOLDER","STB_STUDY_GREEN",,"STB_STUDY","BROWSE",,"239","FALSE","FALSE",,,,,,,,"TRUE",,"EXPLORE_TABLE_DETAILS_134_21",,,"FALSE","FALSE",,"FALSE","FALSE",,,,"0","FALSE","TRUE","MERGE","MERGE","MERGE",,"FALSE",,"0","FALSE",,,"FALSE","FALSE","LOW","FALSE",,"FALSE","FALSE","FALSE","FALSE","Stb Studie","Stability Study"
"TABLE_DETAILS","245","Stb Study Cell Error","Stability Study Cell Error","INT_CLOSED_FOLDER","INT_OPEN_FOLDER","STB_ERROR",,"STB_STUDY_CELL_ERROR","BROWSE",,"245","FALSE","FALSE",,,,,,,,"TRUE",,"EXPLORE_TABLE_DETAILS_137_21",,,"FALSE","FALSE",,"FALSE","FALSE",,,,"0","FALSE","TRUE","MERGE","MERGE","MERGE",,"FALSE",,"0","FALSE",,,"FALSE","FALSE","LOW","FALSE",,"FALSE","FALSE","FALSE","FALSE","Stb Studienzelle Error","Stability Study Cell Error"
"TABLE_DETAILS","247","Stb Study Cell Event","Stability Study Cell Event","INT_CLOSED_FOLDER","INT_OPEN_FOLDER","FLASH",,"STB_STUDY_CELL_EVENT","BROWSE",,"247","FALSE","FALSE",,,,,,,,"TRUE",,"EXPLORE_TABLE_DETAILS_139_21",,,"FALSE","FALSE",,"FALSE","FALSE",,,,"0","FALSE","TRUE","MERGE","MERGE","MERGE",,"FALSE",,"0","FALSE",,,"FALSE","FALSE","LOW","FALSE",,"FALSE","FALSE","FALSE","FALSE","Stb Studienzelle Ereignis","Stability Study Cell Event"
"TABLE_DETAILS","246","Stb Study Cell Link","Stability Study Cell Link","INT_CLOSED_FOLDER","INT_OPEN_FOLDER","LINK",,"STB_STUDY_CELL_LINK","BROWSE",,"246","FALSE","FALSE",,,,,,,,"TRUE",,"EXPLORE_TABLE_DETAILS_138_21",,,"FALSE","FALSE",,"FALSE","FALSE",,,,"0","FALSE","TRUE","MERGE","MERGE","MERGE",,"FALSE",,"0","FALSE",,,"FALSE","FALSE","LOW","FALSE",,"FALSE","FALSE","FALSE","FALSE","Stb Studienzelle Link","Stability Study Cell Link"
"TABLE_DETAILS","244","Stb Study Cell Pull","Stability Study Cell Pull","INT_CLOSED_FOLDER","INT_OPEN_FOLDER","STB_PULL_BLUE",,"STB_STUDY_CELL_PULL","BROWSE",,"244","FALSE","FALSE",,,,,,,,"TRUE",,"EXPLORE_TABLE_DETAILS_136_21",,,"FALSE","FALSE",,"FALSE","FALSE",,,,"0","FALSE","TRUE","MERGE","MERGE","MERGE",,"FALSE",,"0","FALSE",,,"FALSE","FALSE","LOW","FALSE",,"FALSE","FALSE","FALSE","FALSE","Stb Studienzelle Pull","Stability Study Cell Pull"
"TABLE_DETAILS","248","Stb Study Condition","Stability Study Condition","INT_CLOSED_FOLDER","INT_OPEN_FOLDER","STB_CONDITION",,"STB_STUDY_CONDITION","BROWSE",,"248","FALSE","FALSE",,,,,,,,"TRUE",,,,,"FALSE","FALSE",,"FALSE","FALSE",,,,"0","FALSE","TRUE","MERGE","MERGE","MERGE",,"FALSE",,"0","FALSE",,,"FALSE","FALSE","LOW","FALSE",,"FALSE","FALSE","FALSE","FALSE","Stb Studienbedingungen","Stability Study Condition"
