EXPLORER_RMB                  
CABINET,FOLDER_NUMBER,RMB_NUMBER,TYPE,NAME,DESCRIPTION,GROUP_ID,ORDER_NUMBER,PARENT_NUMBER,CONTEXT_ROUTINE,CONTEXT_LIBRARY,CONTEXT_FIELD,CONTEXT_OPERATOR,CONTEXT_VALUE,ALLOW_MULTIPLE,ON_TREE,REFRESH,MENUPROC,USING,LOCK_REQUIRED,ON_NAVBAR,ON_GRID,BEGIN_GROUP,ONLY_COMMITTED,NAME_DE,DESCRIPTION_DE
30,10,10,10,100,234,10,10,10,30,20,30,10,234,1,1,1,10,234,1,1,1,1,1,100,234
                     153
"TABLE_DETAILS","231","1","ITEM","Add","Add St Study Template",,"1","0",,,,,,"FALSE","TRUE","TRUE","28743",,"FALSE","TRUE","TRUE","FALSE","FALSE","Hinzufügen","Add St Study Template"
"TABLE_DETAILS","231","10","SEPARATOR","<Separator>",,,"10","0",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE","FALSE","<Separator>",
"TABLE_DETAILS","231","11","ITEM","New Version","New Version for Stability Template",,"11","0",,,,,,"FALSE","FALSE","TRUE","28741","IDENTITY,STUDY_TEMPLATE_VERSION","FALSE","TRUE","TRUE","FALSE","FALSE","Neue Version","New Version for Stability Template"
"TABLE_DETAILS","231","12","ITEM","Approve","Approve Stability Template",,"12","0",,,"APPROVAL_STATUS","1","I","FALSE","FALSE","TRUE","28756","IDENTITY,STUDY_TEMPLATE_VERSION","FALSE","TRUE","TRUE","FALSE","FALSE","Genehmigen","Approve Stability Template"
"TABLE_DETAILS","231","13","SEPARATOR","<Separator>",,,"13","0",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE","FALSE","<Separator>",
"TABLE_DETAILS","231","14","ITEM","Submit","Submit Study Template",,"14","0",,,"APPROVAL_STATUS","1","V","FALSE","FALSE","TRUE","28755","IDENTITY,STUDY_TEMPLATE_VERSION","FALSE","TRUE","TRUE","FALSE","FALSE","Einreichen","Submit Study Template"
"TABLE_DETAILS","231","15","ITEM","History","History Stability Template",,"15","0",,,,,,"FALSE","FALSE","FALSE","28784","IDENTITY,STUDY_TEMPLATE_VERSION","FALSE","TRUE","TRUE","FALSE","FALSE","Historie","History Stability Template"
"TABLE_DETAILS","231","16","SEPARATOR","<Separator>",,,"16","0",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE","FALSE","<Separator>",
"TABLE_DETAILS","231","17","GROUP","Reporting",,,"17","0",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE","FALSE","Berichtswesen",
"TABLE_DETAILS","231","18","ITEM","Study Template Details","Show Study Study Template Report",,"18","31",,,,,,"FALSE","FALSE","FALSE","28853",,"FALSE","TRUE","TRUE","FALSE","FALSE","Details Studienvorlage","Show Study Study Template Report"
"TABLE_DETAILS","231","2","ITEM","Modify","Modify St Study Template",,"2","0",,,,,,"FALSE","FALSE","TRUE","28745","IDENTITY,STUDY_TEMPLATE_VERSION","FALSE","TRUE","TRUE","FALSE","FALSE","Ändern","Modify St Study Template"
"TABLE_DETAILS","231","3","ITEM","Copy","Copy St Study Template",,"3","0",,,,,,"FALSE","FALSE","TRUE","28744","IDENTITY,STUDY_TEMPLATE_VERSION","FALSE","TRUE","TRUE","FALSE","FALSE","Kopieren","Copy St Study Template"
"TABLE_DETAILS","231","4","ITEM","Display","Display St Study Template",,"4","0",,,,,,"FALSE","FALSE","FALSE","28746","IDENTITY,STUDY_TEMPLATE_VERSION","FALSE","TRUE","TRUE","FALSE","FALSE","Anzeigen","Display St Study Template"
"TABLE_DETAILS","231","5","ITEM","Remove","Remove St Study Template",,"5","0",,,"REMOVEFLAG","4","T","FALSE","FALSE","TRUE","28747","IDENTITY,STUDY_TEMPLATE_VERSION","FALSE","TRUE","TRUE","FALSE","FALSE","Entfernen","Remove St Study Template"
"TABLE_DETAILS","231","6","ITEM","Restore","Restore St Study Template",,"6","0",,,"REMOVEFLAG","1","F","FALSE","FALSE","TRUE","28748","IDENTITY,STUDY_TEMPLATE_VERSION","FALSE","TRUE","TRUE","FALSE","FALSE","Wiederherstellen","Restore St Study Template"
"TABLE_DETAILS","231","7","SEPARATOR","<Separator>",,,"7","0",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE","FALSE","<Separator>",
"TABLE_DETAILS","231","8","ITEM","Print","Print Stb Stability Template",,"8","0",,,,,,"FALSE","FALSE","FALSE","28778","IDENTITY,STUDY_TEMPLATE_VERSION","FALSE","TRUE","TRUE","FALSE","FALSE","Drucken","Print Stb Stability Template"
"TABLE_DETAILS","231","9","ITEM","List","List Stb Study Template",,"9","0",,,,,,"FALSE","TRUE","FALSE","28777",,"FALSE","TRUE","TRUE","FALSE","FALSE","Liste","List Stb Study Template"
